Wavelength,Region0,Region1,Region2,Region3
605.449,0.220004,0.276623,0.369353,0.310345
606.088,0.214215,0.27613,0.347366,0.314996
606.727,0.222642,0.283135,0.366258,0.299743
607.366,0.223449,0.287598,0.357642,0.315483
608.005,0.219282,0.275929,0.371692,0.332844
608.644,0.23174,0.286216,0.35811,0.317065
609.283,0.234944,0.27693,0.369519,0.332411
609.922,0.240118,0.280714,0.377918,0.312388
610.561,0.220831,0.27096,0.372889,0.313369
611.2,0.228115,0.275713,0.365827,0.311655
611.839,0.223861,0.286033,0.366426,0.314307
612.478,0.22301,0.281485,0.354487,0.325753
613.117,0.230144,0.276567,0.359003,0.31441
613.756,0.228364,0.279929,0.360528,0.314444
614.395,0.226099,0.273116,0.36285,0.344493
615.034,0.221308,0.286055,0.372093,0.319374
615.673,0.23403,0.290803,0.367131,0.32325
616.312,0.229015,0.295786,0.373863,0.30918
616.951,0.231927,0.279201,0.377259,0.311241
617.59,0.225254,0.282255,0.355649,0.317362
618.229,0.236384,0.280161,0.364732,0.325406
618.868,0.233122,0.296186,0.373089,0.317208
619.507,0.226978,0.287358,0.347034,0.337693
620.146,0.227109,0.29858,0.357382,0.338501
620.785,0.237454,0.278211,0.344227,0.336393
621.424,0.228764,0.277517,0.347751,0.337471
622.064,0.22882,0.276033,0.335051,0.333856
622.703,0.232381,0.286307,0.350019,0.318586
623.342,0.228041,0.294221,0.343278,0.33778
623.981,0.23418,0.291196,0.361488,0.314652
624.62,0.230053,0.285395,0.375292,0.309922
625.259,0.234591,0.280857,0.353154,0.309266
625.898,0.236082,0.285787,0.349596,0.321917
626.537,0.230909,0.288039,0.345487,0.330154
627.176,0.235356,0.288868,0.344543,0.315513
627.815,0.232538,0.302255,0.349901,0.343826
628.454,0.245564,0.284067,0.343016,0.328066
629.093,0.237046,0.29359,0.337159,0.330576
629.732,0.237303,0.277424,0.357095,0.335602
630.371,0.236613,0.290882,0.345612,0.331601
631.01,0.234603,0.288859,0.351792,0.308501
631.649,0.237354,0.304298,0.363662,0.322609
632.288,0.246793,0.289445,0.354623,0.306513
632.927,0.244901,0.289791,0.354718,0.312447
633.566,0.236383,0.293976,0.346875,0.319263
634.205,0.233003,0.298855,0.349464,0.305635
634.844,0.238503,0.30197,0.348352,0.333771
635.483,0.242265,0.29363,0.361176,0.328635
636.122,0.236355,0.284111,0.357495,0.324213
636.761,0.245943,0.29996,0.343465,0.313675
637.4,0.245885,0.296831,0.35557,0.322026
638.039,0.242038,0.299125,0.355448,0.30593
638.678,0.248618,0.289309,0.337026,0.316365
639.317,0.244781,0.298437,0.352652,0.303008
639.956,0.244712,0.300107,0.354107,0.312574
640.595,0.2398,0.293423,0.346142,0.319204
641.234,0.239655,0.302161,0.346743,0.331828
641.873,0.242452,0.298,0.35303,0.327358
642.513,0.235107,0.29746,0.340076,0.319268
643.152,0.24648,0.288722,0.346894,0.311352
643.791,0.239133,0.289603,0.350954,0.32399
644.43,0.2398,0.285975,0.349966,0.322791
645.069,0.239604,0.29053,0.333394,0.310056
645.708,0.240282,0.303264,0.345932,0.306655
646.347,0.243333,0.296887,0.343606,0.325422
646.986,0.239924,0.289587,0.344108,0.307147
647.625,0.240737,0.305998,0.340148,0.310204
648.264,0.25424,0.299622,0.34826,0.309551
648.903,0.25093,0.29767,0.355669,0.307893
649.542,0.241048,0.301704,0.342487,0.30809
650.181,0.25134,0.299459,0.332841,0.305096
650.82,0.245234,0.300608,0.33368,0.306825
651.459,0.244955,0.293235,0.364145,0.298617
652.098,0.245222,0.302726,0.33043,0.297881
652.737,0.24655,0.289984,0.344932,0.306355
653.376,0.250313,0.302718,0.341592,0.300553
654.015,0.248003,0.300571,0.344849,0.317875
654.654,0.242389,0.298469,0.343039,0.297901
655.293,0.246854,0.302049,0.342307,0.301664
655.932,0.246361,0.298832,0.347065,0.305999
656.571,0.251296,0.307988,0.338299,0.305958
657.21,0.245659,0.301434,0.328973,0.314633
657.849,0.244994,0.313735,0.340407,0.300761
658.488,0.243958,0.318315,0.330275,0.322809
659.127,0.250971,0.312161,0.341828,0.317452
659.766,0.247171,0.319123,0.346425,0.310324
660.405,0.259274,0.309277,0.335768,0.300968
661.044,0.241895,0.295777,0.341618,0.30651
661.683,0.257207,0.316682,0.345948,0.318455
662.322,0.244868,0.313595,0.339685,0.303628
662.962,0.250652,0.303447,0.332109,0.311051
663.601,0.253547,0.301958,0.349356,0.308396
664.24,0.253841,0.308138,0.352915,0.311488
664.879,0.257489,0.320598,0.354688,0.309019
665.518,0.249493,0.309241,0.352645,0.325772
666.157,0.26435,0.315148,0.339642,0.309183
666.796,0.249803,0.319155,0.327398,0.300543
667.435,0.258133,0.306939,0.339724,0.31353
668.074,0.266285,0.317679,0.333976,0.300026
668.713,0.266094,0.314792,0.328509,0.303727
669.352,0.258791,0.317264,0.338159,0.296106
669.991,0.260128,0.314493,0.349119,0.304421
670.63,0.267402,0.313683,0.33778,0.299838
671.269,0.255566,0.309426,0.35224,0.298425
671.908,0.250504,0.308069,0.330377,0.294857
672.547,0.252436,0.320491,0.343579,0.302904
673.186,0.250901,0.317965,0.330781,0.319185
673.825,0.243808,0.313838,0.339893,0.310912
674.464,0.25623,0.320534,0.341843,0.31622
675.103,0.254192,0.322541,0.321576,0.309287
675.742,0.26089,0.312214,0.3378,0.305961
676.381,0.260819,0.309026,0.331989,0.298649
677.02,0.253242,0.318697,0.33088,0.310664
677.659,0.253375,0.308019,0.347429,0.301566
678.298,0.256188,0.312473,0.327983,0.296774
678.937,0.262885,0.318326,0.35256,0.308109
679.576,0.258009,0.328056,0.33175,0.296142
680.215,0.27136,0.321036,0.345325,0.312939
680.854,0.26786,0.316442,0.361213,0.329745
681.493,0.272415,0.319865,0.337792,0.314353
682.132,0.259547,0.314793,0.33438,0.318405
682.771,0.266568,0.316775,0.348279,0.314547
683.41,0.262265,0.324246,0.356976,0.308936
684.05,0.260368,0.312067,0.359998,0.301013
684.689,0.262112,0.320352,0.353657,0.314207
685.328,0.259652,0.318236,0.345892,0.302114
685.967,0.260747,0.332984,0.344277,0.293456
686.606,0.264828,0.322239,0.352946,0.305395
687.245,0.251933,0.3173,0.347391,0.292857
687.884,0.256326,0.315143,0.34706,0.321845
688.523,0.243583,0.323081,0.340818,0.306968
689.162,0.259011,0.320034,0.339989,0.311135
689.801,0.259808,0.306456,0.347457,0.311258
690.44,0.257406,0.322299,0.336268,0.320415
691.079,0.257919,0.311154,0.338104,0.324479
691.718,0.266606,0.308443,0.345813,0.298508
692.357,0.266759,0.319263,0.342012,0.309881
692.996,0.265076,0.317633,0.334461,0.303748
693.635,0.257511,0.320886,0.330762,0.304628
694.274,0.265799,0.311401,0.336383,0.295186
694.913,0.262949,0.310244,0.327498,0.302567
695.552,0.261949,0.329011,0.345417,0.311488
696.191,0.27707,0.326666,0.341082,0.313156
696.83,0.263896,0.320165,0.352633,0.321658
697.469,0.272189,0.316605,0.341794,0.304701
698.108,0.260205,0.322934,0.337151,0.31184
698.747,0.267212,0.318011,0.3517,0.291535
699.386,0.261918,0.305006,0.342711,0.294248
700.025,0.267295,0.327516,0.349626,0.312338
700.664,0.272497,0.314191,0.329578,0.307853
701.303,0.264161,0.322822,0.348809,0.30912
701.942,0.257743,0.324973,0.337035,0.313222
702.581,0.268389,0.311457,0.349591,0.306625
703.22,0.267707,0.32026,0.344795,0.30904
703.859,0.272506,0.307121,0.333895,0.305583
704.499,0.260677,0.307302,0.339366,0.306368
705.138,0.268206,0.309985,0.339802,0.296732
705.777,0.275196,0.305883,0.332896,0.312063
706.416,0.270614,0.303308,0.334638,0.306528
707.055,0.266322,0.302864,0.339591,0.309236
707.694,0.27822,0.313769,0.341009,0.307362
708.333,0.272557,0.299486,0.316683,0.288513
708.972,0.270631,0.289436,0.339133,0.29865
709.611,0.272799,0.315436,0.334152,0.300781
710.25,0.276741,0.312981,0.343427,0.301316
710.889,0.276666,0.322584,0.324291,0.290228
711.528,0.275181,0.306781,0.353193,0.299479
712.167,0.269829,0.31264,0.342813,0.31848
712.806,0.272194,0.318219,0.349796,0.288009
713.445,0.272325,0.313519,0.330051,0.31406
714.084,0.265006,0.298343,0.33636,0.302012
714.723,0.279893,0.311647,0.327647,0.298799
715.362,0.260802,0.310192,0.342497,0.311302
716.001,0.273688,0.312446,0.351129,0.289547
716.64,0.266522,0.306908,0.350736,0.3066
717.279,0.271644,0.309356,0.350472,0.308477
717.918,0.264517,0.305882,0.344005,0.296028
718.557,0.275724,0.308566,0.355845,0.324589
719.196,0.278772,0.316701,0.335868,0.307118
719.835,0.27126,0.290913,0.346538,0.309644
720.474,0.279752,0.304087,0.350462,0.305833
721.113,0.278126,0.296395,0.351806,0.317682
721.752,0.272634,0.311113,0.34639,0.305968
722.391,0.278798,0.305294,0.354203,0.30863
723.03,0.287106,0.310677,0.347759,0.323169
723.669,0.277328,0.312731,0.352381,0.305891
724.308,0.269954,0.311234,0.342349,0.304322
724.947,0.283202,0.30881,0.33549,0.303368
725.587,0.284226,0.304217,0.332265,0.292606
726.226,0.281004,0.321753,0.34747,0.294226
726.865,0.280021,0.308866,0.323576,0.309458
727.504,0.279158,0.317376,0.346189,0.299113
728.143,0.277293,0.311239,0.333594,0.297669
728.782,0.285805,0.310945,0.346451,0.307946
729.421,0.284216,0.31228,0.351783,0.295355
730.06,0.283595,0.311899,0.348996,0.311134
730.699,0.282113,0.31391,0.347806,0.294372
731.338,0.286204,0.303144,0.343619,0.299429
731.977,0.281334,0.314316,0.331162,0.287253
732.616,0.282405,0.309683,0.339316,0.273547
733.255,0.277685,0.321199,0.335042,0.298766
733.894,0.287386,0.320366,0.337993,0.299765
734.533,0.295428,0.3111,0.331517,0.278694
735.172,0.290971,0.300786,0.322919,0.304464
735.811,0.285537,0.328049,0.333295,0.297102
736.45,0.277461,0.306712,0.333432,0.304572
737.089,0.283197,0.325629,0.339256,0.297197
737.728,0.278772,0.314235,0.332399,0.303251
738.367,0.284767,0.325483,0.344386,0.31022
739.006,0.28588,0.315683,0.323539,0.307202
739.645,0.286768,0.318684,0.351335,0.28899
740.284,0.280643,0.317311,0.329321,0.293334
740.923,0.287635,0.328444,0.322536,0.298912
741.562,0.279345,0.313974,0.338108,0.290321
742.201,0.284768,0.31222,0.339756,0.312859
742.84,0.286179,0.314605,0.339514,0.3108
743.479,0.285691,0.313164,0.365478,0.307265
744.118,0.282121,0.311946,0.334135,0.292779
744.757,0.287043,0.316526,0.340404,0.301432
745.396,0.292406,0.32004,0.363178,0.305271
746.036,0.281874,0.30829,0.343071,0.292057
746.675,0.284401,0.299937,0.346527,0.303367
747.314,0.28803,0.311867,0.340931,0.302889
747.953,0.289998,0.299368,0.341624,0.300204
748.592,0.295517,0.306831,0.35618,0.296777
